cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
3,8,135,1875
3,9,166,2305
3,10,142,1972
3,11,142,1972
3,12,176,2444
3,13,105,1458
3,14,120,1666
3,15,127,1763
3,16,124,1722
3,17,164,2277
3,18,130,1805
3,19,168,2333
3,20,173,2402
4,0,171,2375
4,1,141,1958
4,2,135,1875
4,3,158,2194
4,4,128,1777
4,5,156,2166
4,6,90,1250
4,7,138,1916
4,8,131,1819
4,9,116,1611
4,10,131,1819
4,11,178,2472
4,12,132,1833
4,13,157,2180
4,14,132,1833
4,15,129,1791
4,16,88,1222
4,17,125,1736
4,18,134,1861
4,19,141,1958
4,20,126,1750
5,0,128,1777
5,1,114,1583
5,2,137,1902
5,3,93,1291
5,4,127,1763
5,5,160,2222
5,6,117,1625
5,7,147,2041
5,8,143,1986
5,9,71,986
5,10,148,2055
5,11,88,1222
5,12,115,1597
5,13,132,1833
5,14,106,1472
5,15,175,2430
5,16,112,1555
6,0,93,1291
6,1,173,2402
6,2,134,1861
6,3,120,1666
6,4,120,1666
6,5,148,2055
6,6,142,1972
6,7,109,1513
6,8,106,1472
6,9,205,2847
6,10,90,1250
6,11,129,1791
6,12,162,2250
6,13,126,1750
6,14,146,2027
6,15,161,2236
6,16,125,1736
7,0,140,1944
7,1,192,2666
7,2,157,2180
7,3,98,1361
7,4,91,1263
7,5,134,1861
7,6,163,2263
7,7,96,1333
7,8,139,1930
7,9,115,1597
7,10,158,2194
7,11,156,2166
7,12,110,1527
7,13,147,2041
7,14,156,2166
7,15,131,1819
7,16,101,1402
7,17,168,2333
7,18,125,1736
7,19,113,1569
8,0,171,2375
8,1,137,1902
8,2,142,1972
8,3,128,1777
8,4,165,2291
8,5,174,2416
8,6,141,1958
8,7,113,1569
8,8,140,1944
8,9,123,1708
8,10,173,2402
8,11,125,1736
8,12,181,2513
8,13,170,2361
8,14,155,2152
8,15,154,2138
8,16,138,1916
8,17,181,2513
8,18,188,2611
8,19,128,1777
8,20,123,1708
8,21,203,2819
8,22,102,1416
8,23,112,1555
9,0,145,2013
9,1,133,1847
9,2,118,1638
9,3,173,2402
9,4,103,1430
9,5,143,1986
9,6,93,1291
9,7,156,2166
9,8,115,1597
9,9,124,1722
9,10,173,2402
9,11,139,1930
9,12,125,1736
9,13,114,1583
9,14,142,1972
9,15,149,2069
9,16,167,2319
9,17,135,1875
9,18,185,2569
9,19,137,1902
9,20,134,1861
10,0,112,1555
10,1,139,1930
10,2,142,1972
10,3,127,1763
10,4,109,1513
10,5,113,1569
10,6,146,2027
10,7,159,2208
10,8,130,1805
10,9,114,1583
10,10,180,2500
10,11,142,1972
10,12,136,1888
10,13,191,2652
10,14,133,1847
10,15,115,1597
10,16,139,1930
10,17,123,1708
10,18,176,2444
10,19,103,1430
10,20,127,1763
10,21,191,2652
10,22,171,2375
10,23,119,1652
11,0,125,1736
11,1,174,2416
11,2,148,2055
11,3,105,1458
11,4,145,2013
11,5,156,2166
11,6,171,2375
11,7,134,1861
11,8,186,2583
11,9,100,1388
11,10,144,2000
11,11,140,1944
11,12,90,1250
11,13,109,1513
11,14,102,1416
11,15,187,2597
11,16,135,1875
11,17,127,1763
11,18,125,1736
11,19,174,2416
11,20,132,1833
11,21,112,1555
11,22,187,2597
11,23,115,1597
11,24,98,1361
11,25,141,1958
11,26,124,1722
12,0,186,2583
12,1,128,1777
12,2,141,1958
12,3,130,1805
12,4,108,1500
12,5,116,1611
12,6,90,1250
12,7,105,1458
12,8,109,1513
12,9,160,2222
12,10,130,1805
12,11,93,1291
12,12,124,1722
12,13,163,2263
12,14,134,1861
12,15,134,1861
12,16,120,1666
12,17,135,1875
12,18,95,1319
13,0,161,2236
13,1,213,2958
13,2,151,2097
13,3,116,1611
13,4,159,2208
13,5,121,1680
13,6,128,1777
13,7,124,1722
13,8,133,1847
13,9,118,1638
13,10,137,1902
13,11,176,2444
13,12,120,1666
13,13,98,1361
13,14,89,1236
13,15,155,2152
13,16,129,1791
13,17,131,1819
13,18,114,1583
13,19,144,2000
13,20,133,1847
14,0,90,1250
14,1,136,1888
14,2,113,1569
14,3,115,1597
14,4,137,1902
14,5,116,1611
14,6,134,1861
14,7,197,2736
14,8,122,1694
14,9,118,1638
14,10,180,2500
14,11,149,2069
14,12,132,1833
14,13,189,2625
14,14,116,1611
14,15,123,1708
14,16,141,1958
14,17,138,1916
14,18,184,2555
14,19,151,2097
14,20,145,2013
14,21,97,1347
14,22,142,1972
14,23,164,2277
14,24,119,1652
15,0,194,2694
15,1,80,1111
15,2,179,2486
15,3,166,2305
15,4,86,1194
15,5,128,1777
15,6,158,2194
15,7,157,2180
15,8,119,1652
15,9,127,1763
15,10,198,2750
15,11,184,2555
15,12,172,2388
15,13,189,2625
15,14,145,2013
15,15,113,1569
15,16,125,1736
15,17,110,1527
15,18,122,1694
15,19,105,1458
15,20,149,2069
15,21,94,1305
15,22,123,1708
16,0,161,2236
16,1,136,1888
16,2,128,1777
16,3,188,2611
16,4,106,1472
16,5,139,1930
16,6,178,2472
16,7,163,2263
16,8,144,2000
16,9,176,2444
16,10,153,2125
16,11,140,1944
16,12,174,2416
16,13,139,1930
16,14,114,1583
16,15,133,1847
16,16,118,1638
16,17,59,819
16,18,163,2263
16,19,157,2180
17,0,134,1861
17,1,174,2416
17,2,147,2041
17,3,145,2013
17,4,110,1527
17,5,132,1833
17,6,162,2250
17,7,166,2305
17,8,128,1777
17,9,158,2194
17,10,141,1958
17,11,121,1680
17,12,123,1708
17,13,115,1597
17,14,134,1861
17,15,190,2638
17,16,155,2152
